state,district,scenario,overall_risk_change,flood_risk_change,drought_risk_change,ag_stress_change,water_availability_change,temperature_change_change,rainfall_change_change
BIHAR,ARARIA,ssp245,0.65,2.05,-6.33,7.13,0.009,0.5,2.64
BIHAR,ARARIA,ssp585,38.23,2.05,30.46,89.48,0.009,0.9,2.64
BIHAR,ARWAL,ssp245,0.08,0.44,-0.22,0.0,0.008,,2.51
BIHAR,ARWAL,ssp585,36.91,0.44,36.96,79.38,0.008,,2.51
BIHAR,AURANGABAD,ssp245,0.24,0.9,-0.21,0.0,0.008,0.5,2.47
BIHAR,AURANGABAD,ssp585,32.73,0.9,32.59,70.02,0.008,0.9,2.47
BIHAR,BANKA,ssp245,17.87,1.05,17.9,37.46,0.009,,2.54
BIHAR,BANKA,ssp585,27.7,1.05,23.4,63.82,0.009,,2.54
BIHAR,BEGUSARAI,ssp245,-3.17,0.31,-9.37,0.0,0.009,0.5,2.61
BIHAR,BEGUSARAI,ssp585,22.3,0.31,16.09,55.23,0.009,0.9,2.61
BIHAR,BHAGALPUR,ssp245,-2.6,0.64,-8.05,0.0,0.009,0.5,2.56
BIHAR,BHAGALPUR,ssp585,27.19,0.64,22.17,64.01,0.009,0.9,2.56
BIHAR,BHOJPUR,ssp245,-2.49,0.34,-7.46,0.0,0.008,0.5,2.5
BIHAR,BHOJPUR,ssp585,27.78,0.34,23.17,65.16,0.008,0.9,2.5
BIHAR,BUXAR,ssp245,-2.13,0.95,-7.05,0.0,0.008,,2.47
BIHAR,BUXAR,ssp585,30.9,0.95,26.7,70.75,0.008,,2.47
BIHAR,DARBHANGA,ssp245,15.64,0.97,15.59,32.79,0.009,,2.61
BIHAR,DARBHANGA,ssp585,39.22,0.97,38.93,84.19,0.009,,2.61
BIHAR,GAYA,ssp245,0.08,0.45,-0.21,0.0,0.009,0.5,2.5
BIHAR,GAYA,ssp585,38.21,0.45,38.28,82.18,0.009,0.9,2.5
BIHAR,GOPALGANJ,ssp245,-2.49,1.79,-8.92,0.0,0.008,0.5,2.5
BIHAR,GOPALGANJ,ssp585,29.75,1.79,24.72,68.24,0.008,0.9,2.5
BIHAR,JAMUI,ssp245,17.17,1.03,16.9,36.32,0.009,0.5,2.55
BIHAR,JAMUI,ssp585,28.55,1.03,25.36,64.38,0.009,0.9,2.55
BIHAR,JEHANABAD,ssp245,-0.64,0.54,-2.37,0.0,0.009,,2.54
BIHAR,JEHANABAD,ssp585,27.74,0.54,26.22,61.25,0.009,,2.54
BIHAR,KAIMUR (BHABUA),ssp245,0.12,0.55,-0.19,0.0,0.008,,2.45
BIHAR,KAIMUR (BHABUA),ssp585,34.47,0.55,34.49,74.03,0.008,,2.45
BIHAR,KATIHAR,ssp245,0.2,1.51,-0.94,0.0,0.009,0.5,2.54
BIHAR,KATIHAR,ssp585,41.03,1.51,39.02,89.5,0.009,0.9,2.54
BIHAR,KHAGARIA,ssp245,-0.23,0.74,-1.4,0.0,0.009,0.5,2.6
BIHAR,KHAGARIA,ssp585,37.33,0.74,36.48,81.0,0.009,0.9,2.6
BIHAR,KISHANGANJ,ssp245,16.55,1.98,15.95,34.25,0.009,,2.59
BIHAR,KISHANGANJ,ssp585,28.25,1.98,23.35,64.64,0.009,,2.59
BIHAR,LAKHISARAI,ssp245,0.28,0.92,-0.12,0.0,0.009,,2.61
BIHAR,LAKHISARAI,ssp585,25.35,0.92,25.19,54.04,0.009,,2.61
BIHAR,MADHEPURA,ssp245,12.02,0.48,6.73,31.63,0.009,,2.58
BIHAR,MADHEPURA,ssp585,23.39,0.48,18.5,55.83,0.009,,2.58
BIHAR,MADHUBANI,ssp245,15.75,1.9,15.39,32.33,0.009,0.5,2.63
BIHAR,MADHUBANI,ssp585,21.56,1.9,19.89,46.45,0.009,0.9,2.63
BIHAR,MUNGER,ssp245,0.37,1.11,-0.07,0.0,0.009,,2.59
BIHAR,MUNGER,ssp585,35.64,1.11,35.54,76.03,0.009,,2.59
BIHAR,MUZAFFARPUR,ssp245,-2.42,1.19,-8.1,0.0,0.009,,2.58
BIHAR,MUZAFFARPUR,ssp585,24.42,1.19,19.41,57.37,0.009,,2.58
BIHAR,NALANDA,ssp245,-1.33,0.64,-4.44,0.0,0.009,,2.59
BIHAR,NALANDA,ssp585,32.98,0.64,30.06,74.12,0.009,,2.59
BIHAR,NAWADA,ssp245,0.14,0.48,-0.08,0.0,0.009,,2.56
BIHAR,NAWADA,ssp585,37.97,0.48,38.12,81.55,0.009,,2.56
BIHAR,PASHCHIM CHAMPARAN,ssp245,0.67,2.23,-0.3,0.0,0.009,0.5,2.54
BIHAR,PASHCHIM CHAMPARAN,ssp585,30.8,2.23,30.1,64.95,0.009,0.9,2.54
BIHAR,PATNA,ssp245,-2.96,0.34,-8.79,0.0,0.009,0.5,2.58
BIHAR,PATNA,ssp585,24.71,0.34,19.03,59.75,0.009,0.9,2.58
BIHAR,PURBA CHAMPARAN,ssp245,-2.58,1.43,-8.8,0.0,0.009,0.5,2.53
BIHAR,PURBA CHAMPARAN,ssp585,33.02,1.43,27.81,75.93,0.009,0.9,2.53
BIHAR,PURNIA,ssp245,-1.81,2.44,-7.6,0.0,0.009,0.5,2.57
BIHAR,PURNIA,ssp585,34.78,2.44,29.1,79.15,0.009,0.9,2.57
BIHAR,ROHTAS,ssp245,0.11,0.52,-0.21,0.0,0.008,,2.46
BIHAR,ROHTAS,ssp585,31.7,0.52,31.68,68.07,0.008,,2.46
BIHAR,SAHARSA,ssp245,16.32,0.71,11.15,40.57,0.01,,2.6
BIHAR,SAHARSA,ssp585,19.93,0.71,10.55,53.3,0.01,,2.6
BIHAR,SAMASTIPUR,ssp245,-1.73,0.51,-5.44,0.0,0.009,,2.61
BIHAR,SAMASTIPUR,ssp585,21.28,0.51,17.61,49.8,0.009,,2.61
BIHAR,SARAN,ssp245,-2.65,0.84,-8.43,0.0,0.008,,2.53
BIHAR,SARAN,ssp585,28.38,0.84,25.59,63.76,0.008,,2.53
BIHAR,SHEIKHPURA,ssp245,0.26,0.79,-0.06,0.0,0.009,,2.61
BIHAR,SHEIKHPURA,ssp585,39.89,0.79,39.94,85.46,0.009,,2.61
BIHAR,SHEOHAR,ssp245,-0.79,0.93,-3.21,0.0,0.009,,2.56
BIHAR,SHEOHAR,ssp585,26.21,0.93,23.94,58.34,0.009,,2.56
BIHAR,SITAMARHI,ssp245,0.28,0.66,0.14,0.0,0.009,0.5,2.59
BIHAR,SITAMARHI,ssp585,38.64,0.66,38.87,82.69,0.009,0.9,2.59
BIHAR,SIWAN,ssp245,-0.68,1.25,-3.19,0.0,0.008,,2.5
BIHAR,SIWAN,ssp585,28.97,1.25,28.69,61.64,0.008,,2.5
BIHAR,SUPAUL,ssp245,-2.31,2.66,-9.27,0.0,0.009,0.5,2.64
BIHAR,SUPAUL,ssp585,30.39,2.66,23.64,70.63,0.009,0.9,2.64
BIHAR,VAISHALI,ssp245,-2.57,0.61,-7.94,0.0,0.008,0.5,2.6
BIHAR,VAISHALI,ssp585,2.19,0.61,-2.38,9.37,0.008,0.9,2.6
MAHARASHTRA,AHILYANAGAR,ssp245,0.76,0.47,0.62,1.27,0.009,0.5,2.57
MAHARASHTRA,AHILYANAGAR,ssp585,26.98,0.47,27.09,57.79,0.009,0.9,2.57
MAHARASHTRA,AKOLA,ssp245,0.19,0.78,-0.23,0.0,0.009,0.5,2.6
MAHARASHTRA,AKOLA,ssp585,26.97,0.78,26.81,57.74,0.009,0.9,2.6
MAHARASHTRA,AMRAVATI,ssp245,0.29,0.74,0.1,0.0,0.009,0.5,2.62
MAHARASHTRA,AMRAVATI,ssp585,28.33,0.74,28.41,60.44,0.009,0.9,2.62
MAHARASHTRA,BEED,ssp245,9.72,-0.11,9.7,21.22,0.008,,2.55
MAHARASHTRA,BEED,ssp585,25.51,-0.11,25.64,55.25,0.008,,2.55
MAHARASHTRA,BHANDARA,ssp245,0.22,0.76,-0.15,0.0,0.009,0.5,2.6
MAHARASHTRA,BHANDARA,ssp585,26.53,0.76,26.41,56.71,0.009,0.9,2.6
MAHARASHTRA,BULDHANA,ssp245,-0.44,-0.63,-0.64,0.0,0.008,0.5,2.56
MAHARASHTRA,BULDHANA,ssp585,32.01,-0.63,32.13,69.95,0.008,0.9,2.56
MAHARASHTRA,CHANDRAPUR,ssp245,-0.07,0.11,-0.31,0.0,0.009,0.5,2.6
MAHARASHTRA,CHANDRAPUR,ssp585,36.64,0.11,36.75,79.11,0.009,0.9,2.6
MAHARASHTRA,CHHATRAPATI SAMBHAJI NAGAR,ssp245,-0.43,-0.72,-0.52,0.0,0.008,0.5,2.54
MAHARASHTRA,CHHATRAPATI SAMBHAJI NAGAR,ssp585,32.22,-0.72,32.45,70.38,0.008,0.9,2.54
MAHARASHTRA,DHARASHIV,ssp245,9.77,1.16,9.35,20.33,0.009,0.5,2.6
MAHARASHTRA,DHARASHIV,ssp585,31.31,1.16,29.49,68.6,0.009,0.9,2.6
MAHARASHTRA,DHULE,ssp245,2.95,-0.07,2.62,6.86,0.009,0.5,2.64
MAHARASHTRA,DHULE,ssp585,29.97,-0.07,29.9,65.1,0.009,0.9,2.64
MAHARASHTRA,GADCHIROLI,ssp245,-0.05,-0.3,-0.16,0.38,0.009,0.5,2.54
MAHARASHTRA,GADCHIROLI,ssp585,41.64,-0.3,37.5,95.4,0.009,0.9,2.54
MAHARASHTRA,GONDIA,ssp245,0.33,1.2,-0.25,0.0,0.009,0.5,2.58
MAHARASHTRA,GONDIA,ssp585,31.96,1.2,31.68,68.15,0.009,0.9,2.58
MAHARASHTRA,HINGOLI,ssp245,0.03,0.84,-0.75,0.0,0.008,,2.58
MAHARASHTRA,HINGOLI,ssp585,12.21,0.84,11.54,26.24,0.008,,2.58
MAHARASHTRA,JALGAON,ssp245,3.21,-0.11,2.73,7.62,0.009,0.5,2.58
MAHARASHTRA,JALGAON,ssp585,33.04,-0.11,32.85,71.92,0.009,0.9,2.58
MAHARASHTRA,JALNA,ssp245,-0.53,-1.01,-0.52,0.0,0.008,0.5,2.52
MAHARASHTRA,JALNA,ssp585,29.02,-1.01,29.32,63.7,0.008,0.9,2.52
MAHARASHTRA,KOLHAPUR,ssp245,20.5,2.15,12.81,50.88,0.009,0.5,2.6
MAHARASHTRA,KOLHAPUR,ssp585,20.21,2.15,7.85,55.7,0.009,0.9,2.6
MAHARASHTRA,LATUR,ssp245,2.17,1.31,1.81,3.61,0.009,0.5,2.64
MAHARASHTRA,LATUR,ssp585,26.45,1.31,26.32,55.94,0.009,0.9,2.64
MAHARASHTRA,MUMBAI,ssp245,,0.56,,1.32,0.009,,2.57
MAHARASHTRA,MUMBAI,ssp585,,0.56,,51.67,0.009,,2.57
MAHARASHTRA,MUMBAI SUBURBAN,ssp245,,0.29,,0.65,0.009,,2.58
MAHARASHTRA,MUMBAI SUBURBAN,ssp585,,0.29,,45.3,0.009,,2.58
MAHARASHTRA,NAGPUR,ssp245,0.26,0.87,-0.13,0.0,0.009,0.5,2.64
MAHARASHTRA,NAGPUR,ssp585,17.01,0.87,16.79,36.11,0.009,0.9,2.64
MAHARASHTRA,NANDED,ssp245,0.19,1.08,-0.52,0.0,0.009,0.5,2.68
MAHARASHTRA,NANDED,ssp585,8.92,1.08,8.3,18.81,0.009,0.9,2.68
MAHARASHTRA,NANDURBAR,ssp245,1.08,0.76,0.73,1.85,0.009,0.5,2.66
MAHARASHTRA,NANDURBAR,ssp585,27.77,0.76,27.68,59.38,0.009,0.9,2.66
MAHARASHTRA,NASHIK,ssp245,0.0,-0.22,0.22,0.0,0.009,0.5,2.63
MAHARASHTRA,NASHIK,ssp585,19.95,-0.22,20.36,43.0,0.009,0.9,2.63
MAHARASHTRA,PALGHAR,ssp245,0.91,0.73,-5.45,8.55,0.009,0.5,2.63
MAHARASHTRA,PALGHAR,ssp585,28.81,0.73,21.99,69.52,0.009,0.9,2.63
MAHARASHTRA,PARBHANI,ssp245,-0.02,0.34,-0.38,0.0,0.008,0.5,2.57
MAHARASHTRA,PARBHANI,ssp585,27.91,0.34,27.82,60.2,0.008,0.9,2.57
MAHARASHTRA,PUNE,ssp245,1.38,0.84,1.3,2.13,0.009,0.5,2.58
MAHARASHTRA,PUNE,ssp585,38.87,0.84,37.19,85.22,0.009,0.9,2.58
MAHARASHTRA,RAIGAD,ssp245,6.95,1.18,6.6,14.1,0.009,0.5,2.58
MAHARASHTRA,RAIGAD,ssp585,31.64,1.18,28.61,70.72,0.009,0.9,2.58
MAHARASHTRA,RATNAGIRI,ssp245,19.43,0.18,19.55,41.75,0.009,0.5,2.59
MAHARASHTRA,RATNAGIRI,ssp585,18.77,0.18,14.47,45.49,0.009,0.9,2.59
MAHARASHTRA,SANGLI,ssp245,25.16,1.43,24.94,53.12,0.009,0.5,2.59
MAHARASHTRA,SANGLI,ssp585,27.0,1.43,22.4,62.2,0.009,0.9,2.59
MAHARASHTRA,SATARA,ssp245,9.0,2.18,8.41,17.63,0.009,0.5,2.59
MAHARASHTRA,SATARA,ssp585,34.46,2.18,30.96,76.21,0.009,0.9,2.59
MAHARASHTRA,SINDHUDURG,ssp245,18.78,1.2,18.57,39.55,0.009,0.5,2.6
MAHARASHTRA,SINDHUDURG,ssp585,17.77,1.2,13.12,42.52,0.009,0.9,2.6
MAHARASHTRA,SOLAPUR,ssp245,20.38,0.22,20.45,43.82,0.009,0.5,2.58
MAHARASHTRA,SOLAPUR,ssp585,30.13,0.22,29.07,66.24,0.009,0.9,2.58
MAHARASHTRA,THANE,ssp245,1.56,0.75,1.51,2.55,0.009,0.5,2.6
MAHARASHTRA,THANE,ssp585,28.81,0.75,29.02,61.3,0.009,0.9,2.6
MAHARASHTRA,WARDHA,ssp245,0.27,0.82,-0.05,0.0,0.009,0.5,2.65
MAHARASHTRA,WARDHA,ssp585,20.48,0.82,20.35,43.55,0.009,0.9,2.65
MAHARASHTRA,WASHIM,ssp245,-0.1,0.35,-0.63,0.0,0.008,0.5,2.58
MAHARASHTRA,WASHIM,ssp585,12.6,0.35,12.2,27.38,0.008,0.9,2.58
MAHARASHTRA,YAVATMAL,ssp245,0.05,0.47,-0.33,0.0,0.009,0.5,2.66
MAHARASHTRA,YAVATMAL,ssp585,18.37,0.47,18.17,39.49,0.009,0.9,2.66
TELANGANA,ADILABAD,ssp245,0.41,1.43,-0.25,0.0,0.009,0.5,2.7
TELANGANA,ADILABAD,ssp585,33.49,1.43,33.15,71.31,0.009,0.9,2.7
TELANGANA,BHADRADRI KOTHAGUDEM,ssp245,20.05,1.2,19.82,42.33,0.009,0.5,2.53
TELANGANA,BHADRADRI KOTHAGUDEM,ssp585,28.12,1.2,23.54,64.88,0.009,0.9,2.53
TELANGANA,HANUMAKONDA,ssp245,0.31,0.99,-0.1,0.0,0.009,,2.65
TELANGANA,HANUMAKONDA,ssp585,11.87,0.99,11.57,24.92,0.009,,2.65
TELANGANA,HYDERABAD,ssp245,,1.64,,0.86,0.009,,2.6
TELANGANA,HYDERABAD,ssp585,,1.64,,77.38,0.009,,2.6
TELANGANA,JAGTIAL,ssp245,0.23,0.83,-0.17,0.0,0.009,,2.7
TELANGANA,JAGTIAL,ssp585,0.45,0.83,0.05,0.48,0.009,,2.7
TELANGANA,JANGAON,ssp245,0.3,1.05,-0.21,0.0,0.008,0.5,2.67
TELANGANA,JANGAON,ssp585,7.03,1.05,6.59,14.52,0.008,0.9,2.67
TELANGANA,JAYASHANKAR BHUPALPALLI,ssp245,0.23,0.68,-0.04,0.0,0.009,,2.59
TELANGANA,JAYASHANKAR BHUPALPALLI,ssp585,33.26,0.68,33.31,71.2,0.009,,2.59
TELANGANA,JOGULAMBA GADWAL,ssp245,16.93,-0.06,17.0,36.68,0.008,,2.45
TELANGANA,JOGULAMBA GADWAL,ssp585,19.51,-0.06,15.17,47.38,0.008,,2.45
TELANGANA,KAMAREDDY,ssp245,0.49,1.49,-0.09,0.0,0.009,0.5,2.74
TELANGANA,KAMAREDDY,ssp585,0.49,1.49,-0.09,0.0,0.009,0.9,2.74
TELANGANA,KARIMNAGAR,ssp245,0.31,1.17,-0.29,0.0,0.008,0.5,2.68
TELANGANA,KARIMNAGAR,ssp585,0.31,1.17,-0.29,0.0,0.008,0.9,2.68
TELANGANA,KHAMMAM,ssp245,11.4,1.22,10.97,23.79,0.009,0.5,2.59
TELANGANA,KHAMMAM,ssp585,33.95,1.22,32.87,73.38,0.009,0.9,2.59
TELANGANA,KUMURAM BHEEM,ssp245,2.41,1.0,1.93,4.62,0.009,0.5,2.61
TELANGANA,KUMURAM BHEEM,ssp585,38.16,1.0,33.6,86.83,0.009,0.9,2.61
TELANGANA,MAHABUBABAD,ssp245,0.27,0.96,-0.18,0.0,0.009,,2.61
TELANGANA,MAHABUBABAD,ssp585,16.06,0.96,15.76,34.04,0.009,,2.61
TELANGANA,MAHBUBNAGAR,ssp245,-0.03,0.1,-0.18,0.0,0.008,,2.5
TELANGANA,MAHBUBNAGAR,ssp585,26.24,0.1,26.33,56.61,0.008,,2.5
TELANGANA,MANCHERIAL,ssp245,0.08,0.52,-0.28,0.0,0.009,,2.61
TELANGANA,MANCHERIAL,ssp585,34.02,0.52,33.98,73.15,0.009,,2.61
TELANGANA,MEDAK,ssp245,0.62,1.86,-0.1,0.0,0.008,,2.69
TELANGANA,MEDAK,ssp585,0.62,1.86,-0.1,0.0,0.008,,2.69
TELANGANA,MEDCHAL-MALKAJGIRI,ssp245,0.6,1.86,-0.14,0.0,0.009,0.5,2.64
TELANGANA,MEDCHAL-MALKAJGIRI,ssp585,42.66,1.86,39.86,93.51,0.009,0.9,2.64
TELANGANA,MULUGU,ssp245,5.44,0.99,5.07,11.07,0.009,0.5,2.56
TELANGANA,MULUGU,ssp585,41.11,0.99,36.66,93.1,0.009,0.9,2.56
TELANGANA,NAGARKURNOOL,ssp245,6.06,-0.02,6.04,13.17,0.008,0.5,2.5
TELANGANA,NAGARKURNOOL,ssp585,30.22,-0.02,26.02,70.42,0.008,0.9,2.5
TELANGANA,NALGONDA,ssp245,0.19,0.83,-0.28,0.0,0.008,0.5,2.6
TELANGANA,NALGONDA,ssp585,40.22,0.83,39.72,86.76,0.008,0.9,2.6
TELANGANA,NARAYANPET,ssp245,5.8,0.54,5.52,12.27,0.008,0.5,2.52
TELANGANA,NARAYANPET,ssp585,43.27,0.54,38.93,98.19,0.008,0.9,2.52
TELANGANA,NIRMAL,ssp245,0.28,1.19,-0.4,0.0,0.009,,2.74
TELANGANA,NIRMAL,ssp585,7.27,1.19,6.66,15.07,0.009,,2.74
TELANGANA,NIZAMABAD,ssp245,0.29,1.08,-0.25,0.0,0.009,0.5,2.76
TELANGANA,NIZAMABAD,ssp585,0.29,1.08,-0.25,0.0,0.009,0.9,2.76
TELANGANA,PEDDAPALLI,ssp245,0.17,0.78,-0.31,0.0,0.009,0.5,2.64
TELANGANA,PEDDAPALLI,ssp585,1.15,0.78,0.68,2.11,0.009,0.9,2.64
TELANGANA,RAJANNA SIRCILLA,ssp245,0.32,0.9,0.0,0.0,0.009,,2.74
TELANGANA,RAJANNA SIRCILLA,ssp585,0.32,0.9,0.0,0.0,0.009,,2.74
TELANGANA,RANGA REDDY,ssp245,1.38,1.41,0.77,2.04,0.008,0.5,2.56
TELANGANA,RANGA REDDY,ssp585,44.34,1.41,39.82,99.67,0.008,0.9,2.56
TELANGANA,SANGAREDDY,ssp245,0.61,1.85,-0.1,0.0,0.009,0.5,2.66
TELANGANA,SANGAREDDY,ssp585,22.12,1.85,21.61,46.35,0.009,0.9,2.66
TELANGANA,SIDDIPET,ssp245,0.3,1.07,-0.21,0.0,0.008,,2.68
TELANGANA,SIDDIPET,ssp585,0.3,1.07,-0.21,0.0,0.008,,2.68
TELANGANA,SURYAPET,ssp245,0.2,0.91,-0.34,0.0,0.008,0.5,2.63
TELANGANA,SURYAPET,ssp585,11.64,0.91,11.21,24.66,0.008,0.9,2.63
TELANGANA,VIKARABAD,ssp245,1.48,1.48,0.76,2.34,0.008,0.5,2.57
TELANGANA,VIKARABAD,ssp585,42.71,1.48,39.67,94.38,0.008,0.9,2.57
TELANGANA,WANAPARTHY,ssp245,1.51,0.06,1.25,3.5,0.008,,2.46
TELANGANA,WANAPARTHY,ssp585,36.21,0.06,35.48,79.23,0.008,,2.46
TELANGANA,WARANGAL,ssp245,0.2,0.78,-0.2,0.0,0.009,,2.63
TELANGANA,WARANGAL,ssp585,20.99,0.78,20.79,44.81,0.009,,2.63
TELANGANA,YADADRI BHUVANAGIRI,ssp245,0.34,1.29,-0.32,0.0,0.008,,2.64
TELANGANA,YADADRI BHUVANAGIRI,ssp585,16.71,1.29,16.21,35.29,0.008,,2.64
