district,scenario,overall_risk_2030,overall_risk_2035,overall_risk_2040,flood_risk_2030,flood_risk_2035,flood_risk_2040,drought_risk_2030,drought_risk_2035,drought_risk_2040,agstress_2030,agstress_2035,agstress_2040,temperature_change_2030,temperature_change_2035,temperature_change_2040,rainfall_change_2030,rainfall_change_2035,rainfall_change_2040
KOLHAPUR,ssp245,29.36,44.28,49.86,63.32,64.39,65.47,20.05,31.17,32.86,0.59,36.1,51.47,0.2825651446978341,0.5325651446978341,0.7825651446978341,5.28,6.58,7.88
KOLHAPUR,ssp585,49.9,60.25,70.11,63.32,64.39,65.47,41.27,47.78,49.12,44.3,69.97,100.0,0.5825651446978342,1.032565144697834,1.482565144697834,5.28,6.58,7.88
LATUR,ssp245,4.8,5.05,6.97,11.3,11.96,12.61,2.41,2.47,4.22,0.0,0.0,3.61,0.1791942232185022,0.4291942232185022,0.6791942232185022,7.24,8.56,9.88
LATUR,ssp585,10.69,24.5,37.14,11.3,11.96,12.61,8.36,22.11,34.68,12.7,41.93,68.64,0.4791942232185022,0.9291942232185022,1.3791942232185022,7.24,8.56,9.88
MUMBAI,ssp245,,,,96.8,97.08,97.36,,,,0.0,0.0,1.32,,,,4.29,5.575,6.86
MUMBAI,ssp585,,,,96.8,97.08,97.36,,,,12.43,25.65,64.1,,,,4.29,5.57,6.86
MUMBAI SUBURBAN,ssp245,,,,98.86,99.0,99.15,,,,0.0,0.0,0.65,,,,4.87,6.16,7.45
MUMBAI SUBURBAN,ssp585,,,,98.86,99.0,99.15,,,,15.19,27.25,60.49,,,,4.87,6.16,7.45
NAGPUR,ssp245,14.36,14.49,14.62,40.08,40.52,40.95,0.95,0.89,0.82,0.0,0.0,0.0,0.242697495222103,0.492697495222103,0.742697495222103,6.89,8.209999999999999,9.53
NAGPUR,ssp585,14.36,18.31,31.37,40.08,40.52,40.95,0.95,4.74,17.74,0.0,8.23,36.11,0.5426974952221031,0.992697495222103,1.442697495222103,6.89,8.21,9.53
NANDED,ssp245,6.38,6.48,6.57,15.58,16.12,16.66,2.64,2.38,2.12,0.0,0.0,0.0,0.2173791607221105,0.4673791607221105,0.7173791607221105,9.05,10.39,11.73
NANDED,ssp585,6.38,14.94,15.3,15.58,16.12,16.66,2.64,10.93,10.94,0.0,18.24,18.81,0.5173791607221105,0.9673791607221104,1.4173791607221105,9.05,10.39,11.73
NANDURBAR,ssp245,14.56,14.67,15.64,33.22,33.6,33.98,8.39,8.32,9.12,0.0,0.0,1.85,0.2052773813406716,0.4552773813406716,0.7052773813406716,7.98,9.31,10.64
NANDURBAR,ssp585,15.89,25.72,43.66,33.22,33.6,33.98,9.73,19.48,37.41,2.86,23.81,62.24,0.5052773813406717,0.9552773813406716,1.4052773813406716,7.98,9.31,10.64
NASHIK,ssp245,18.99,18.99,18.99,44.48,44.37,44.26,9.78,9.89,10.0,0.0,0.0,0.0,0.262091734011971,0.5120917340119711,0.7620917340119711,6.85,8.165,9.48
NASHIK,ssp585,18.99,25.02,38.94,44.48,44.37,44.26,9.78,15.97,30.14,0.0,12.99,43.0,0.5620917340119711,1.012091734011971,1.462091734011971,6.85,8.17,9.48
PALGHAR,ssp245,44.77,43.24,45.68,99.27,99.64,100.0,28.64,23.91,23.19,0.0,0.0,8.55,0.3009898112879909,0.550989811287991,0.800989811287991,6.74,8.055,9.37
PALGHAR,ssp585,53.55,70.4,82.36,99.27,99.64,100.0,38.11,52.05,60.1,18.22,57.71,87.74,0.600989811287991,1.050989811287991,1.500989811287991,6.74,8.06,9.37
PARBHANI,ssp245,6.03,6.02,6.01,14.79,14.96,15.13,2.43,2.24,2.05,0.0,0.0,0.0,0.273777708080086,0.5237777080800861,0.7737777080800861,4.4,5.6850000000000005,6.97
PARBHANI,ssp585,6.03,15.48,33.94,14.79,14.96,15.13,2.43,11.79,30.25,0.0,20.38,60.2,0.5737777080800861,1.023777708080086,1.473777708080086,4.4,5.68,6.97
PUNE,ssp245,16.1,16.3,17.48,37.86,38.28,38.7,8.13,8.28,9.43,0.0,0.0,2.13,0.3150857104195772,0.5650857104195772,0.8150857104195772,4.83,6.12,7.41
PUNE,ssp585,19.19,38.66,58.06,37.86,38.28,38.7,11.25,30.86,48.44,6.66,48.21,91.88,0.6150857104195773,1.0650857104195772,1.5150857104195772,4.83,6.12,7.41
RAIGAD,ssp245,55.21,56.56,62.16,97.74,98.33,98.92,60.0,61.15,66.6,0.0,2.46,14.1,0.3352134870158458,0.5852134870158459,0.8352134870158459,4.66,5.95,7.24
RAIGAD,ssp585,66.49,80.38,98.13,97.74,98.33,98.92,71.39,85.21,100.0,24.31,53.82,95.03,0.6352134870158459,1.085213487015846,1.5352134870158458,4.66,5.95,7.24
RATNAGIRI,ssp245,64.39,75.48,83.82,99.82,100.0,100.0,68.54,79.67,88.09,18.22,42.0,59.97,0.3278515418370595,0.5778515418370596,0.8278515418370596,5.15,6.445,7.74
RATNAGIRI,ssp585,81.23,90.2,100.0,99.82,100.0,100.0,85.53,94.52,100.0,54.51,73.71,100.0,0.6278515418370596,1.0778515418370596,1.5278515418370595,5.15,6.44,7.74
SANGLI,ssp245,7.61,16.93,32.77,17.04,17.76,18.47,4.7,13.87,29.64,0.0,19.52,53.12,0.2843440453211592,0.5343440453211592,0.7843440453211592,5.01,6.305,7.6
SANGLI,ssp585,25.1,40.38,52.1,17.04,17.76,18.47,22.35,37.55,44.75,37.7,70.08,99.9,0.5843440453211592,1.0343440453211592,1.4843440453211592,5.01,6.3,7.6
SATARA,ssp245,18.07,18.74,27.07,44.48,45.57,46.66,7.15,7.49,15.56,0.0,0.55,17.63,0.3314131809605563,0.5814131809605563,0.8314131809605563,5.14,6.4350000000000005,7.73
SATARA,ssp585,27.17,46.51,61.63,44.48,45.57,46.66,16.34,35.53,47.3,19.6,60.42,95.81,0.6314131809605563,1.0814131809605565,1.5314131809605562,5.14,6.43,7.73
SINDHUDURG,ssp245,65.58,77.5,84.36,98.22,99.2,99.42,69.04,80.75,87.61,23.45,48.39,63.0,0.310854793919475,0.560854793919475,0.810854793919475,5.48,6.78,8.08
SINDHUDURG,ssp585,81.37,88.97,99.14,98.22,99.2,99.42,84.99,92.33,98.11,57.48,73.13,100.0,0.6108547939194751,1.060854793919475,1.510854793919475,5.48,6.78,8.08
SOLAPUR,ssp245,2.3,2.31,22.68,3.07,3.13,3.29,3.51,3.47,23.96,0.0,0.0,43.82,0.2139089087645302,0.4639089087645303,0.7139089087645303,4.75,6.04,7.33
SOLAPUR,ssp585,13.05,38.0,43.18,3.07,3.13,3.29,14.36,39.5,43.43,23.18,76.93,89.42,0.5139089087645303,0.9639089087645304,1.4139089087645302,4.75,6.04,7.33
THANE,ssp245,37.14,37.35,38.7,96.43,96.85,97.18,9.69,9.87,11.2,0.0,0.0,2.55,0.3009898112879909,0.550989811287991,0.800989811287991,5.82,7.12,8.42
THANE,ssp585,45.98,55.22,74.79,96.43,96.85,97.18,18.61,27.91,47.63,19.04,38.53,80.34,0.600989811287991,1.050989811287991,1.500989811287991,5.82,7.12,8.42
WARDHA,ssp245,14.9,15.04,15.17,39.8,40.21,40.62,2.78,2.75,2.73,0.0,0.0,0.0,0.2233064850171615,0.4733064850171615,0.7233064850171615,7.7,9.025,10.35
WARDHA,ssp585,14.9,18.66,35.38,39.8,40.21,40.62,2.78,6.41,23.13,0.0,7.81,43.55,0.5233064850171616,0.9733064850171615,1.4233064850171615,7.7,9.02,10.35
WASHIM,ssp245,13.23,13.18,13.13,33.24,33.42,33.59,4.55,4.24,3.92,0.0,0.0,0.0,0.2567127658261263,0.5067127658261263,0.7567127658261263,4.84,6.13,7.42
WASHIM,ssp585,13.23,19.67,25.83,33.24,33.42,33.59,4.55,10.79,16.75,0.0,13.99,27.38,0.5567127658261264,1.0067127658261263,1.4567127658261263,4.84,6.13,7.42
YAVATMAL,ssp245,12.28,12.3,12.33,31.32,31.55,31.79,3.76,3.59,3.43,0.0,0.0,0.0,0.2131334357791665,0.4631334357791665,0.7131334357791665,7.98,9.31,10.64
YAVATMAL,ssp585,12.28,16.64,30.65,31.32,31.55,31.79,3.76,7.97,21.93,0.0,9.35,39.49,0.5131334357791666,0.9631334357791664,1.4131334357791665,7.98,9.31,10.64
ADILABAD,ssp245,10.41,10.62,10.82,27.87,28.59,29.3,1.87,1.74,1.62,0.0,0.0,0.0,0.1754068215688278,0.4254068215688278,0.6754068215688278,9.67,11.02,12.37
ADILABAD,ssp585,10.41,16.02,43.9,27.87,28.59,29.3,1.87,7.19,35.02,0.0,11.64,71.31,0.4754068215688278,0.9254068215688278,1.3754068215688278,9.67,11.02,12.37
BHADRADRI KOTHAGUDEM,ssp245,8.15,18.59,28.2,21.08,21.68,22.28,2.2,12.53,22.02,0.0,22.05,42.33,0.2507238268852347,0.5007238268852348,0.7507238268852348,2.91,4.175000000000001,5.44
BHADRADRI KOTHAGUDEM,ssp585,24.45,45.73,52.57,21.08,21.68,22.28,18.66,39.93,42.2,35.12,80.55,100.0,0.5507238268852348,1.0007238268852348,1.4507238268852347,2.91,4.18,5.44
HANUMAKONDA,ssp245,6.49,6.63,6.8,18.43,18.93,19.42,0.1,0.0,0.0,0.0,0.0,0.0,,,,7.84,9.165,10.49
HANUMAKONDA,ssp585,6.49,6.63,18.36,18.43,18.93,19.42,0.1,0.0,11.67,0.0,0.0,24.92,,,,7.84,9.17,10.49
HYDERABAD,ssp245,,,,15.0,15.82,16.64,,,,0.0,0.0,0.86,,,,5.55,6.85,8.15
HYDERABAD,ssp585,,,,15.0,15.82,16.64,,,,4.18,19.68,81.56,,,,5.55,6.85,8.15
JAGTIAL,ssp245,8.06,8.14,8.29,22.86,23.27,23.69,0.17,0.0,0.0,0.0,0.0,0.0,,,,9.72,11.07,12.42
JAGTIAL,ssp585,8.06,8.14,8.51,22.86,23.27,23.69,0.17,0.0,0.22,0.0,0.0,0.48,,,,9.72,11.07,12.42
JANGAON,ssp245,4.71,4.86,5.01,12.16,12.68,13.21,1.31,1.2,1.1,0.0,0.0,0.0,0.2101129571596907,0.4601129571596907,0.7101129571596907,8.3,9.635000000000002,10.97
JANGAON,ssp585,4.71,4.86,11.74,12.16,12.68,13.21,1.31,1.2,7.9,0.0,0.0,14.52,0.5101129571596907,0.9601129571596908,1.4101129571596906,8.3,9.64,10.97
JAYASHANKAR BHUPALPALLI,ssp245,12.29,12.4,12.52,35.08,35.42,35.76,0.04,0.0,0.0,0.0,0.0,0.0,,,,5.11,6.405,7.7
JAYASHANKAR BHUPALPALLI,ssp585,12.29,18.26,45.55,35.08,35.42,35.76,0.04,5.92,33.35,0.0,12.65,71.2,,,,5.11,6.41,7.7
JOGULAMBA GADWAL,ssp245,5.33,8.57,22.26,0.1,0.07,0.04,7.61,10.84,24.61,8.77,15.85,45.45,,,,-0.28,0.945,2.17
JOGULAMBA GADWAL,ssp585,25.67,40.93,45.18,0.1,0.07,0.04,28.15,43.41,43.32,52.62,85.7,100.0,,,,-0.28,0.94,2.17
KAMAREDDY,ssp245,7.07,7.31,7.56,18.58,19.33,20.07,1.61,1.56,1.52,0.0,0.0,0.0,0.2325368338161126,0.4825368338161127,0.7325368338161127,11.18,12.55,13.92
KAMAREDDY,ssp585,7.07,7.31,7.56,18.58,19.33,20.07,1.61,1.56,1.52,0.0,0.0,0.0,0.5325368338161127,0.9825368338161128,1.4325368338161126,11.18,12.55,13.92
KARIMNAGAR,ssp245,9.55,9.7,9.86,26.9,27.49,28.07,0.38,0.23,0.09,0.0,0.0,0.0,0.1886242177751498,0.4386242177751498,0.6886242177751498,8.63,9.97,11.31
KARIMNAGAR,ssp585,9.55,9.7,9.86,26.9,27.49,28.07,0.38,0.23,0.09,0.0,0.0,0.0,0.4886242177751498,0.9386242177751498,1.3886242177751498,8.63,9.97,11.31
KHAMMAM,ssp245,3.81,6.99,15.21,10.71,11.32,11.93,0.17,3.08,11.14,0.0,6.49,23.79,0.2507238268852347,0.5007238268852348,0.7507238268852348,5.1,6.395,7.69
KHAMMAM,ssp585,10.7,29.61,44.65,10.71,11.32,11.93,7.13,25.92,40.0,14.86,55.25,88.24,0.5507238268852348,1.0007238268852348,1.4507238268852347,5.1,6.39,7.69
KUMURAM BHEEM,ssp245,16.01,16.14,18.42,43.31,43.81,44.31,2.43,2.31,4.36,0.0,0.0,4.62,0.2445556435320277,0.4945556435320277,0.7445556435320277,6.02,7.325,8.63
KUMURAM BHEEM,ssp585,22.12,32.85,60.28,43.31,43.81,44.31,8.6,19.18,42.2,13.17,36.0,100.0,0.5445556435320278,0.9945556435320276,1.4445556435320277,6.02,7.33,8.63
MAHABUBABAD,ssp245,4.25,4.38,4.52,11.96,12.44,12.92,0.18,0.07,0.0,0.0,0.0,0.0,,,,6.16,7.465,8.77
MAHABUBABAD,ssp585,6.61,15.83,22.67,11.96,12.44,12.92,2.56,11.63,18.32,5.08,24.68,39.12,,,,6.16,7.46,8.77
MAHBUBNAGAR,ssp245,1.44,1.41,1.41,0.0,0.0,0.1,4.12,4.03,3.94,0.0,0.0,0.0,,,,1.86,3.1100000000000003,4.36
MAHBUBNAGAR,ssp585,1.44,5.61,27.68,0.0,0.0,0.1,4.12,8.27,30.45,0.0,9.06,56.61,,,,1.86,3.11,4.36
MANCHERIAL,ssp245,13.36,13.4,13.44,37.65,37.91,38.17,0.51,0.37,0.23,0.0,0.0,0.0,,,,6.11,7.415000000000001,8.72
MANCHERIAL,ssp585,13.36,21.65,47.38,37.65,37.91,38.17,0.51,8.7,34.49,0.0,17.79,73.15,,,,6.11,7.42,8.72
MEDAK,ssp245,6.4,6.69,7.02,18.19,19.12,20.05,0.1,0.0,0.0,0.0,0.0,0.0,,,,9.36,10.705,12.05
MEDAK,ssp585,6.4,6.69,7.02,18.19,19.12,20.05,0.1,0.0,0.0,0.0,0.0,0.0,,,,9.36,10.7,12.05
MEDCHAL-MALKAJGIRI,ssp245,5.9,6.19,6.5,16.65,17.56,18.51,0.21,0.14,0.07,0.0,0.0,0.0,0.2243652125199844,0.4743652125199844,0.7243652125199844,6.94,8.26,9.58
MEDCHAL-MALKAJGIRI,ssp585,5.9,21.67,48.56,16.65,17.56,18.51,0.21,15.76,40.07,0.0,33.36,93.51,0.5243652125199845,0.9743652125199844,1.4243652125199844,6.94,8.26,9.58
MULUGU,ssp245,11.65,11.78,17.09,33.17,33.67,34.16,0.11,0.0,5.18,0.0,0.0,11.07,0.2426913128958858,0.4926913128958858,0.7426913128958859,3.73,5.01,6.29
MULUGU,ssp585,14.85,45.76,55.96,33.17,33.67,34.16,3.34,34.3,40.0,6.9,73.22,100.0,0.5426913128958859,0.992691312895886,1.4426913128958858,3.73,5.01,6.29
NAGARKURNOOL,ssp245,2.04,2.01,8.1,3.2,3.19,3.18,2.62,2.55,8.66,0.0,0.0,13.17,0.2470164775848502,0.4970164775848502,0.7470164775848502,1.29,2.54,3.79
NAGARKURNOOL,ssp585,15.76,31.97,45.98,3.2,3.19,3.18,16.47,32.8,42.49,29.58,64.57,100.0,0.5470164775848503,0.9970164775848502,1.4470164775848502,1.29,2.54,3.79
NALGONDA,ssp245,3.21,3.28,3.4,6.05,6.38,6.88,3.12,2.98,2.84,0.0,0.0,0.0,0.2473814831839824,0.4973814831839824,0.7473814831839825,5.23,6.53,7.83
NALGONDA,ssp585,3.21,15.25,43.43,6.05,6.38,6.88,3.12,15.07,42.84,0.0,25.8,86.76,0.5473814831839825,0.9973814831839825,1.4473814831839824,5.23,6.53,7.83
NARAYANPET,ssp245,1.87,1.92,7.67,0.98,1.25,1.52,4.37,4.25,9.89,0.0,0.0,12.27,0.2072093698713573,0.4572093698713573,0.7072093698713573,2.07,3.33,4.59
NARAYANPET,ssp585,2.71,28.37,45.98,0.98,1.25,1.52,5.21,30.95,44.14,1.81,57.0,100.0,0.5072093698713573,0.9572093698713572,1.4072093698713573,2.07,3.33,4.59
NIRMAL,ssp245,7.08,7.22,7.36,19.62,20.21,20.81,0.61,0.41,0.21,0.0,0.0,0.0,,,,11.1,12.47,13.84
NIRMAL,ssp585,7.08,7.22,14.35,19.62,20.21,20.81,0.61,0.41,7.27,0.0,0.0,15.07,,,,11.1,12.47,13.84
NIZAMABAD,ssp245,5.62,5.76,5.91,15.82,16.36,16.9,0.25,0.1,0.0,0.0,0.0,0.0,0.2325368338161126,0.4825368338161127,0.7325368338161127,12.03,13.41,14.79
NIZAMABAD,ssp585,5.62,5.76,5.91,15.82,16.36,16.9,0.25,0.1,0.0,0.0,0.0,0.0,0.5325368338161127,0.9825368338161128,1.4325368338161126,12.03,13.41,14.79
PEDDAPALLI,ssp245,9.97,10.05,10.14,28.02,28.41,28.8,0.47,0.31,0.16,0.0,0.0,0.0,0.1886242177751498,0.4386242177751498,0.6886242177751498,7.29,8.61,9.93
PEDDAPALLI,ssp585,9.97,10.05,11.12,28.02,28.41,28.8,0.47,0.31,1.15,0.0,0.0,2.11,0.4886242177751498,0.9386242177751498,1.3886242177751498,7.29,8.61,9.93
RAJANNA SIRCILLA,ssp245,5.73,5.89,6.05,16.38,16.83,17.28,0.0,0.0,0.0,0.0,0.0,0.0,,,,11.25,12.62,13.99
RAJANNA SIRCILLA,ssp585,5.73,5.89,6.05,16.38,16.83,17.28,0.0,0.0,0.0,0.0,0.0,0.0,,,,11.25,12.62,13.99
RANGA REDDY,ssp245,3.44,3.66,4.82,6.99,7.7,8.4,2.85,2.76,3.62,0.0,0.0,2.04,0.2243652125199844,0.4743652125199844,0.7243652125199844,4.2,5.48,6.76
RANGA REDDY,ssp585,3.44,16.17,47.78,6.99,7.7,8.4,2.85,15.39,42.67,0.0,26.96,99.67,0.5243652125199845,0.9743652125199844,1.4243652125199844,4.2,5.48,6.76
SANGAREDDY,ssp245,6.26,6.57,6.87,16.4,17.32,18.25,1.49,1.44,1.39,0.0,0.0,0.0,0.2341492387983699,0.4841492387983699,0.7341492387983699,8.14,9.47,10.8
SANGAREDDY,ssp585,6.26,10.17,28.38,16.4,17.32,18.25,1.49,5.08,23.1,0.0,7.78,46.35,0.53414923879837,0.98414923879837,1.43414923879837,8.14,9.47,10.8
SIDDIPET,ssp245,5.02,5.18,5.32,14.14,14.68,15.21,0.21,0.11,0.0,0.0,0.0,0.0,,,,8.84,10.18,11.52
SIDDIPET,ssp585,5.02,5.18,5.32,14.14,14.68,15.21,0.21,0.11,0.0,0.0,0.0,0.0,,,,8.84,10.18,11.52
SURYAPET,ssp245,2.93,3.02,3.13,5.31,5.75,6.22,3.06,2.89,2.72,0.0,0.0,0.0,0.2101129571596907,0.4601129571596907,0.7101129571596907,6.9,8.215,9.53
SURYAPET,ssp585,2.93,3.02,14.57,5.31,5.75,6.22,3.06,2.89,14.27,0.0,0.0,24.66,0.5101129571596907,0.9601129571596908,1.4101129571596906,6.9,8.21,9.53
VIKARABAD,ssp245,3.83,4.03,5.31,7.49,8.23,8.97,3.44,3.27,4.2,0.0,0.0,2.34,0.2341492387983699,0.4841492387983699,0.7341492387983699,4.26,5.545,6.83
VIKARABAD,ssp585,3.83,20.51,46.54,7.49,8.23,8.97,3.44,19.92,43.11,0.0,35.53,94.38,0.53414923879837,0.98414923879837,1.43414923879837,4.26,5.54,6.83
WANAPARTHY,ssp245,1.44,1.39,2.95,1.15,1.18,1.21,2.97,2.78,4.22,0.0,0.0,3.5,,,,-0.14,1.09,2.32
WANAPARTHY,ssp585,5.53,25.3,41.74,1.15,1.18,1.21,7.1,26.92,42.58,8.8,51.56,88.03,,,,-0.14,1.09,2.32
WARANGAL,ssp245,5.77,5.87,5.97,15.34,15.73,16.12,1.14,1.04,0.94,0.0,0.0,0.0,,,,6.82,8.135,9.45
WARANGAL,ssp585,5.77,6.65,26.76,15.34,15.73,16.12,1.14,1.83,21.93,0.0,1.69,44.81,,,,6.82,8.14,9.45
YADADRI BHUVANAGIRI,ssp245,4.82,4.99,5.16,11.93,12.57,13.22,1.84,1.68,1.52,0.0,0.0,0.0,,,,7.36,8.68,10.0
YADADRI BHUVANAGIRI,ssp585,4.82,6.88,21.53,11.93,12.57,13.22,1.84,3.59,18.05,0.0,4.08,35.29,,,,7.36,8.68,10.0
